time,eciPosX,eciPosY,eciPosZ,periPosP,periPosQ,periPosW
0.00,6791997.84,3633.68,2097.91,6791997.84,4195.82,-0.00
0.50,6791993.52,7267.37,4195.82,6791993.52,8391.63,-0.00
1.00,6791987.04,10901.05,6293.72,6791987.04,12587.44,-0.00
1.50,6791978.40,14534.72,8391.63,6791978.40,16783.25,-0.00
2.00,6791967.61,18168.40,10489.53,6791967.61,20979.06,-0.00
2.50,6791954.65,21802.06,12587.43,6791954.65,25174.85,-0.00
3.00,6791939.53,25435.72,14685.32,6791939.53,29370.64,-0.00
3.50,6791922.25,29069.37,16783.21,6791922.25,33566.42,-0.00
4.00,6791902.82,32703.01,18881.09,6791902.82,37762.19,-0.00
4.50,6791881.22,36336.65,20978.97,6791881.22,41957.95,-0.00
5.00,6791857.46,39970.27,23076.84,6791857.46,46153.69,-0.00
5.50,6791831.55,43603.87,25174.71,6791831.55,50349.42,-0.00
6.00,6791803.47,47237.47,27272.56,6791803.47,54545.13,-0.00
6.50,6791773.24,50871.05,29370.41,6791773.24,58740.82,-0.00
7.00,6791740.84,54504.61,31468.25,6791740.84,62936.50,-0.00
7.50,6791706.29,58138.15,33566.08,6791706.29,67132.16,-0.00
8.00,6791669.58,61771.68,35663.90,6791669.58,71327.79,-0.00
8.50,6791630.70,65405.19,37761.70,6791630.70,75523.41,-0.00
9.00,6791589.67,69038.67,39859.50,6791589.67,79718.99,-0.00
9.50,6791546.48,72672.14,41957.28,6791546.48,83914.56,-0.00
10.00,6791501.13,76305.58,44055.05,6791501.13,88110.09,-0.00
10.50,6791453.62,79939.00,46152.80,6791453.62,92305.60,-0.00
11.00,6791403.94,83572.39,48250.54,6791403.94,96501.08,0.00
11.50,6791352.12,87205.75,50348.26,6791352.12,100696.53,0.00
12.00,6791298.13,90839.09,52445.97,6791298.13,104891.95,0.00
12.50,6791241.98,94472.40,54543.66,6791241.98,109087.33,-0.00
13.00,6791183.67,98105.68,56641.34,6791183.67,113282.68,-0.00
13.50,6791123.20,101738.92,58738.99,6791123.20,117477.99,-0.00
14.00,6791060.58,105372.14,60836.63,6791060.58,121673.26,-0.00
14.50,6790995.79,109005.32,62934.25,6790995.79,125868.50,-0.00
15.00,6790928.85,112638.46,65031.85,6790928.85,130063.70,-0.00
15.50,6790859.74,116271.58,67129.43,6790859.74,134258.85,-0.00
16.00,6790788.48,119904.65,69226.98,6790788.48,138453.96,-0.00
16.50,6790715.06,123537.68,71324.52,6790715.06,142649.03,-0.00
17.00,6790639.48,127170.68,73422.03,6790639.48,146844.05,-0.00
17.50,6790561.74,130803.64,75519.52,6790561.74,151039.03,-0.00
18.00,6790481.84,134436.55,77616.98,6790481.84,155233.96,-0.00
18.50,6790399.78,138069.42,79714.42,6790399.78,159428.84,-0.00
19.00,6790315.56,141702.25,81811.83,6790315.56,163623.66,-0.00
19.50,6790229.19,145335.03,83909.22,6790229.19,167818.44,-0.00
20.00,6790140.65,148967.77,86006.58,6790140.65,172013.16,-0.00
20.50,6790049.96,152600.46,88103.92,6790049.96,176207.83,-0.00
21.00,6789957.11,156233.10,90201.22,6789957.11,180402.44,-0.00
21.50,6789862.10,159865.69,92298.50,6789862.10,184597.00,-0.00
22.00,6789764.93,163498.23,94395.75,6789764.93,188791.49,-0.00
22.50,6789665.60,167130.72,96492.97,6789665.60,192985.93,-0.00
23.00,6789564.11,170763.15,98590.15,6789564.11,197180.30,-0.00
23.50,6789460.47,174395.53,100687.31,6789460.47,201374.62,-0.00
24.00,6789354.67,178027.86,102784.43,6789354.67,205568.86,-0.00
24.50,6789246.70,181660.13,104881.52,6789246.70,209763.05,-0.00
25.00,6789136.58,185292.34,106978.58,6789136.58,213957.16,0.00
25.50,6789024.31,188924.49,109075.61,6789024.31,218151.21,-0.00
26.00,6788909.87,192556.58,111172.59,6788909.87,222345.19,-0.00
26.50,6788793.27,196188.61,113269.55,6788793.27,226539.10,0.00
27.00,6788674.52,199820.58,115366.47,6788674.52,230732.93,-0.00
27.50,6788553.61,203452.49,117463.35,6788553.61,234926.69,-0.00
28.00,6788430.54,207084.33,119560.19,6788430.54,239120.38,-0.00
28.50,6788305.32,210716.10,121657.00,6788305.32,243313.99,-0.00
29.00,6788177.93,214347.81,123753.76,6788177.93,247507.53,0.00
29.50,6788048.39,217979.45,125850.49,6788048.39,251700.98,0.00
30.00,6787916.69,221611.02,127947.18,6787916.69,255894.36,-0.00
30.50,6787782.83,225242.52,130043.83,6787782.83,260087.65,-0.00
31.00,6787646.82,228873.94,132140.43,6787646.82,264280.87,0.00
31.50,6787508.64,232505.30,134237.00,6787508.64,268473.99,0.00
32.00,6787368.31,236136.58,136333.52,6787368.31,272667.04,0.00
32.50,6787225.83,239767.79,138430.00,6787225.83,276859.99,-0.00
33.00,6787081.18,243398.92,140526.43,6787081.18,281052.86,0.00
33.50,6786934.38,247029.97,142622.82,6786934.38,285245.64,0.00
34.00,6786785.42,250660.94,144719.16,6786785.42,289438.33,0.00
34.50,6786634.30,254291.84,146815.46,6786634.30,293630.92,0.00
35.00,6786481.03,257922.65,148911.71,6786481.03,297823.42,0.00
35.50,6786325.60,261553.38,151007.92,6786325.60,302015.83,0.00
36.00,6786168.01,265184.03,153104.07,6786168.01,306208.14,0.00
36.50,6786008.27,268814.59,155200.18,6786008.27,310400.36,0.00
37.00,6785846.37,272445.07,157296.24,6785846.37,314592.47,0.00
37.50,6785682.31,276075.47,159392.24,6785682.31,318784.49,0.00
38.00,6785516.10,279705.77,161488.20,6785516.10,322976.40,0.00
38.50,6785347.72,283335.99,163584.11,6785347.72,327168.21,0.00
39.00,6785177.20,286966.11,165679.96,6785177.20,331359.92,0.00
39.50,6785004.51,290596.14,167775.76,6785004.51,335551.52,0.00
40.00,6784829.68,294226.09,169871.51,6784829.68,339743.02,0.00
40.50,6784652.68,297855.94,171967.20,6784652.68,343934.41,0.00
41.00,6784473.53,301485.69,174062.84,6784473.53,348125.69,0.00
41.50,6784292.22,305115.35,176158.43,6784292.22,352316.86,0.00
42.00,6784108.76,308744.91,178253.96,6784108.76,356507.91,0.00
42.50,6783923.14,312374.37,180349.43,6783923.14,360698.85,0.00
43.00,6783735.36,316003.73,182444.84,6783735.36,364889.68,0.00
43.50,6783545.43,319633.00,184540.20,6783545.43,369080.39,0.00
44.00,6783353.35,323262.16,186635.49,6783353.35,373270.99,0.00
44.50,6783159.11,326891.22,188730.73,6783159.11,377461.47,0.00
45.00,6782962.71,330520.17,190825.91,6782962.71,381651.82,0.00
45.50,6782764.16,334149.02,192921.03,6782764.16,385842.06,0.00
46.00,6782563.45,337777.77,195016.08,6782563.45,390032.17,0.00
46.50,6782360.59,341406.40,197111.08,6782360.59,394222.16,0.00
47.00,6782155.58,345034.93,199206.01,6782155.58,398412.02,0.00
47.50,6781948.40,348663.35,201300.88,6781948.40,402601.76,0.00
48.00,6781739.08,352291.66,203395.68,6781739.08,406791.37,0.00
48.50,6781527.60,355919.85,205490.42,6781527.60,410980.85,0.00
49.00,6781313.96,359547.94,207585.10,6781313.96,415170.20,0.00
49.50,6781098.17,363175.91,209679.71,6781098.17,419359.41,0.00
50.00,6780880.23,366803.76,211774.25,6780880.23,423548.50,0.00
50.50,6780660.13,370431.49,213868.72,6780660.13,427737.45,0.00
51.00,6780437.88,374059.11,215963.13,6780437.88,431926.26,0.00
51.50,6780213.48,377686.61,218057.47,6780213.48,436114.94,0.00
52.00,6779986.92,381313.99,220151.74,6779986.92,440303.47,0.00
52.50,6779758.20,384941.25,222245.94,6779758.20,444491.87,0.00
53.00,6779527.34,388568.39,224340.06,6779527.34,448680.13,0.00
53.50,6779294.32,392195.40,226434.12,6779294.32,452868.24,0.00
